idCode,hxcf,hxcfen,ypmc,ypmcen,slh,jx,gytj,gg,cbzj,pzwh,scpzrq,ssxkzcyr,sccs,ssxszt,sllb,jpxzl,smsContent,smsAttname,source_url,cid,cas
cb729dece769b6cac33d50d56d84b6ac,西司他丁钠/亚胺培南,Imipenem and Cilastatin Sodium,注射用亚胺培南西司他丁钠,Imipenem and Cilastatin Sodium for Injection,CYHB2350752,注射剂,注射,1.0g（C12H17N3O4S 0.5g与C16H26N2O5S 0.5g）,否,国药准字H20074008,2024-11-28,国药集团国瑞药业有限公司,国药集团国瑞药业有限公司,新批准暂未销售,通过质量和疗效一致性评价的药品,,,,https://www.cde.org.cn/hymlj/detailPage/cb729dece769b6cac33d50d56d84b6ac,145709231,
d24a64d3fb8df8490e9c4306e6d73981,酮咯酸氨丁三醇,Ketorolac Trometamol,酮咯酸氨丁三醇注射液,Ketorolac Trometamol Injection,CYHB2350306,注射剂,注射,1ml：30mg,否,国药准字H20183297,2024-11-20,天津红日药业股份有限公司,天津红日药业股份有限公司,新批准暂未销售,通过质量和疗效一致性评价的药品,,,,https://www.cde.org.cn/hymlj/detailPage/d24a64d3fb8df8490e9c4306e6d73981,84003,74103-07-4
9575ffcafb4893a8ae159374f23c4763,盐酸乌拉地尔,Urapidil Hydrochloride,盐酸乌拉地尔注射液,Urapidil Hydrochloride Injection,CYHS2302189,注射剂,注射,按乌拉地尔计10ml：50mg,否,国药准字H20249706,2024-12-06,山西德元堂药业有限公司,山西德元堂药业有限公司,新批准暂未销售,按化学药品新注册分类批准的仿制药,C02CA06,,,https://www.cde.org.cn/hymlj/detailPage/9575ffcafb4893a8ae159374f23c4763,167980,64887-14-5
e85f62942d2e5af7576a823de6f766d4,盐酸达泊西汀,Dapoxetine Hydrochloride ,盐酸达泊西汀片,Dapoxetine Hydrochloride Tablets,CYHS2302654,片剂,口服,60mg（按C21H23NO计）,否,国药准字H20253015,2025-01-02,上海理想制药有限公司,上海理想制药有限公司,新批准暂未销售,按化学药品新注册分类批准的仿制药,,,,https://www.cde.org.cn/hymlj/detailPage/e85f62942d2e5af7576a823de6f766d4,71352,129938-20-1
4bcc5730b3cd7ac6ffe98a3246e24125,左炔诺孕酮,Levonorgestrel ,左炔诺孕酮片,Levonorgestrel Tablets,JYHS2300010,片剂/tablets,口服,1.5mg,否,国药准字HJ20240161,2024-12-06,EXELTIS HEALTHCARE S.L.,LABORATORIOS LEON FARMA， S.A.,新批准暂未销售,按化学药品新注册分类批准的仿制药,G03AD01,,,https://www.cde.org.cn/hymlj/detailPage/4bcc5730b3cd7ac6ffe98a3246e24125,13109,6533-00-2
4727108d2fb6210b874948d3cf76e903,利奈唑胺,Linezolid,利奈唑胺葡萄糖注射液,Linezolid and Glucose Injection,CYHS2000285,注射剂,静脉注射,300ml:利奈唑胺0.6g与葡萄糖15g,否,国药准字H20249784,2024-12-25,扬子江药业集团上海海尼药业有限公司,扬子江药业集团上海海尼药业有限公司,新批准暂未销售,按化学药品新注册分类批准的仿制药,J01XX08,,,https://www.cde.org.cn/hymlj/detailPage/4727108d2fb6210b874948d3cf76e903,441401,165800-03-3
0737871d5b7e0cd2f54765172ce1be1d,马来酸阿伐曲泊帕,,马来酸阿伐曲泊帕片,Avatrombopag Maleate Tablets,CYHS2302991,片剂,口服,20mg(按C29H34Cl2N6O3S2计),否,国药准字H20253117,2025-01-08,湖南明瑞制药股份有限公司,湖南明瑞制药股份有限公司,新批准暂未销售,按化学药品新注册分类批准的仿制药,,,,https://www.cde.org.cn/hymlj/detailPage/0737871d5b7e0cd2f54765172ce1be1d,445063,131-48-6
1e5ff24e335f700365da3da9a9ece803,亚叶酸钙,,亚叶酸钙注射液,Calcium Folinate Injection,CYHS2302488,注射剂,静脉注射,10ml:0.1g（按C20H23N7O7计）,否,国药准字H20253154,2025-01-14,四川汇宇制药股份有限公司,四川汇宇制药股份有限公司,新批准暂未销售,按化学药品新注册分类批准的仿制药,,,,https://www.cde.org.cn/hymlj/detailPage/1e5ff24e335f700365da3da9a9ece803,445063,131-48-6
3555c7742c593ada85fff47ea3f50d09,沙库巴曲缬沙坦钠,Sacubitril Valsartan Sodium,沙库巴曲缬沙坦钠片,Sacubitril Valsartan Sodium Tablets,CYHS2300073,片剂,口服,以沙库巴曲缬沙坦计：100mg（沙库巴曲49mg/缬沙坦51mg）,否,国药准字H20243476,2024-04-11,浙江诺得药业有限公司,浙江诺得药业有限公司,新批准暂未销售,按化学药品新注册分类批准的仿制药,C09DX04,,,https://www.cde.org.cn/hymlj/detailPage/3555c7742c593ada85fff47ea3f50d09,,
011c6a0d1b83b1a48bf206c6ca4c75ec,布美他尼,Bumetanide,布美他尼注射液,Bumetanide Injection,CYHB2350250,注射剂,注射,1ml:0.5mg,否,国药准字H20247066,2024-04-15,桂林南药股份有限公司,桂林南药股份有限公司,新批准暂未销售,通过质量和疗效一致性评价的药品,,,,https://www.cde.org.cn/hymlj/detailPage/011c6a0d1b83b1a48bf206c6ca4c75ec,2471,28395-03-1
27888ea22659f21610a39618d7ab4a9e,奥美拉唑、碳酸氢钠,,奥美拉唑碳酸氢钠胶囊（Ⅱ）,Omeprazole and Sodium Bicarbonate Capsules（Ⅱ）,CYHS2201919,胶囊剂,口服,每粒含奥美拉唑40mg与碳酸氢钠1100mg,否,国药准字H20243667,2024-05-08,厦门恩成制药有限公司,厦门恩成制药有限公司,新批准暂未销售,按化学药品新注册分类批准的仿制药,,,,https://www.cde.org.cn/hymlj/detailPage/27888ea22659f21610a39618d7ab4a9e,445063,131-48-6
2c0a3be5dfd077926ebe9a4318aec8dc,头孢克洛,Cefaclor,头孢克洛胶囊,Cefaclor Capsules,CYHB2250649,胶囊剂,口服,0.25g（按C15H14ClN3O4S计）,否,国药准字H10930008,2024-04-07,山东淄博新达制药有限公司,山东淄博新达制药有限公司,上市销售中,通过质量和疗效一致性评价的药品,J01DC04,,,https://www.cde.org.cn/hymlj/detailPage/2c0a3be5dfd077926ebe9a4318aec8dc,51039,53994-73-3
