idCode,hxcf,hxcfen,ypmc,ypmcen,slh,jx,gytj,gg,cbzj,pzwh,scpzrq,ssxkzcyr,sccs,ssxszt,sllb,jpxzl,smsContent,smsAttname,source_url
ab8fec5f344df6553fd9f1c021c78b96,熊去氧胆酸,Ursodeoxycholic Acid,熊去氧胆酸胶囊,Ursodeoxycholic Acid Capsules,,胶囊剂,口服,250mg,是,H20150365,1994-04-17,Dr. Falk Pharma GmbH,Losan Pharma GmbH,上市销售中,进口原研药品,A05AA02,,,https://www.cde.org.cn/hymlj/detailPage/ab8fec5f344df6553fd9f1c021c78b96
6333f41150e5394e83ab6a34411d7891,盐酸氨溴索,Ambroxol Hydrochloride,盐酸氨溴索缓释胶囊,Ambroxol Hydrochloride SR Capsules,,胶囊剂,口服,75mg,是,H20150018; H20150019,2000-10-31,Boehringer Ingelheim Pharma GmbH & Co.KG,Boehringer Ingelheim Pharma GmbH & Co.KG,上市销售中,进口原研药品 ,R05CB06,,,https://www.cde.org.cn/hymlj/detailPage/6333f41150e5394e83ab6a34411d7891
8a3ca97907c5df93f15fb6910b5c01cd,盐酸氨溴索,Ambroxol Hydrochloride ,盐酸氨溴索片,Ambroxol Hydrochloride Tablets,,片剂 ,口服,30mg,是,H20150082,1991-10-07,Boehringer Ingelheim France,Delpharm Reims,暂停销售,进口原研药品 ,R05CB06,,,https://www.cde.org.cn/hymlj/detailPage/8a3ca97907c5df93f15fb6910b5c01cd
5d8489f9c80004fb4d13254f2772195a,盐酸吡格列酮,Pioglitazone Hydrochloride ,盐酸吡格列酮片,Pioglitazone Hydrochloride Tablets,,片剂,口服,15mg（按吡格列酮计）,是,H20140267,2004-02-13,Takeda Pharmaceutical Company Limited,Takeda Pharmaceutical Company Limited，Osaka Plant,上市销售中,进口原研药品,A10BG03,,,https://www.cde.org.cn/hymlj/detailPage/5d8489f9c80004fb4d13254f2772195a
5a4d762d72643cb695168a8c568aa7e3,盐酸吡格列酮,Pioglitazone Hydrochloride ,盐酸吡格列酮片,Pioglitazone Hydrochloride Tablets,,片剂,口服,30mg（按吡格列酮计）,是,H20140270,2004-02-13,Takeda Pharmaceutical Company Limited,Takeda Pharmaceutical Company Limited，Osaka Plant,暂停销售,进口原研药品,A10BG03,,,https://www.cde.org.cn/hymlj/detailPage/5a4d762d72643cb695168a8c568aa7e3
c80ad14e18a5ac0bc82809199c07f221,盐酸达泊西汀,Dapoxetine Hydrochloride ,盐酸达泊西汀片,Dapoxetine Hydrochloride Tablets,JXHL0900192,片剂,口服,30mg,是,H20150563,2010-12-10,Berlin-Chemie AG,Menarini - Von Heyden GmbH,上市销售中,进口原研药品,G04BX14,,,https://www.cde.org.cn/hymlj/detailPage/c80ad14e18a5ac0bc82809199c07f221
2a599b7b7bdf979d750d88a8e80088c3,盐酸达泊西汀,Dapoxetine Hydrochloride ,盐酸达泊西汀片,Dapoxetine Hydrochloride Tablets,JXHL0900193,片剂,口服,60mg,是,H20150564,2010-12-10,Berlin-Chemie AG,Menarini - Von Heyden GmbH,上市销售中,进口原研药品,G04BX14,,,https://www.cde.org.cn/hymlj/detailPage/2a599b7b7bdf979d750d88a8e80088c3
22e052605811627d2e10ce033594952f,富马酸替诺福韦二吡呋酯,Tenofovir Disoproxil Fumarate,富马酸替诺福韦二吡呋酯片,Tenofovir Disoproxil Fumarate Tablets,,片剂,口服,300mg,是,国药准字H20153090,2008-06-18,,葛兰素史克（天津）有限公司,上市销售中,其他药品,J05AF07,,,https://www.cde.org.cn/hymlj/detailPage/22e052605811627d2e10ce033594952f
794737210d0e1654817f6dc67a67a2e2,利伐沙班,Rivaroxaban,利伐沙班片,Rivaroxaban Tablets,,片剂,口服,10mg,是,H20140132;H20140133,2009-03-31,Bayer AG,Bayer AG,上市销售中,进口原研药品,B01AF01,,,https://www.cde.org.cn/hymlj/detailPage/794737210d0e1654817f6dc67a67a2e2
2e8e787965b2b884ba77bddacd9c5f45,利伐沙班,Rivaroxaban,利伐沙班片,Rivaroxaban Tablets,,片剂,口服,15mg,是,H20150213;H20150215,2015-04-29,Bayer AG,Bayer AG,上市销售中,进口原研药品,B01AF01,,,https://www.cde.org.cn/hymlj/detailPage/2e8e787965b2b884ba77bddacd9c5f45
a67637ea40ee9fb2d68acb3c09a27885,利伐沙班,Rivaroxaban,利伐沙班片,Rivaroxaban Tablets,,片剂,口服,20mg,是,H20150214;H20150216,2015-04-29,Bayer AG,Bayer AG,上市销售中,进口原研药品,B01AF01,,,https://www.cde.org.cn/hymlj/detailPage/a67637ea40ee9fb2d68acb3c09a27885
836cb4dbe6962972b14a7030b6aae972,尼莫地平,Nimodipine,尼莫地平片,Nimodipine Tablets,,片剂,口服,30mg,是,国药准字H20003010,2000-11-02,,拜耳医药保健有限公司,上市销售中,其他药品,C08CA06,,,https://www.cde.org.cn/hymlj/detailPage/836cb4dbe6962972b14a7030b6aae972
f89d1faf99d4e88ec8b250f003ad855d,盐酸莫西沙星,Moxifloxacin Hydrochloride,盐酸莫西沙星片,Moxifloxacin Hydrochloride Tablets,,片剂,口服,0.4g,是,H20140721;H20140722;H20140723,2002-08-30,Bayer Vital GmbH,Bayer Pharma AG,上市销售中,进口原研药品,J01MA14,,,https://www.cde.org.cn/hymlj/detailPage/f89d1faf99d4e88ec8b250f003ad855d
e20e9bd309366a800d3b0cda9f2d9359,戊酸雌二醇,Estradiol Valerate ,戊酸雌二醇片,Estradiol Valerate Tablets,,片剂,口服,1mg,是,H20160679;H20160678,1997-01-29,Jenapharm GmbH & Co. KG,DELPHARM Lille S.A.S.,上市销售中,进口原研药品,G03CA03,,,https://www.cde.org.cn/hymlj/detailPage/e20e9bd309366a800d3b0cda9f2d9359
