active_ingredients,company,dosage_from_route,drug_application_no,drug_name,drug_type,last_updated,marketing_status,rld,rs,strength,te_code,website_info_urls,cid,smiles
DEFERASIROX,AUROBINDO PHARMA,GRANULE;ORAL,215137,DEFERASIROX,ANDA,20250915_095649,Prescription,No,No,90MG,AB,,214348.0,C1=CC=C(C(=C1)C2=NN(C(=N2)C3=CC=CC=C3O)C4=CC=C(C=C4)C(=O)O)O
DEFERASIROX,AUROBINDO PHARMA,GRANULE;ORAL,215137,DEFERASIROX,ANDA,20250915_095649,Prescription,No,No,180MG,AB,,214348.0,C1=CC=C(C(=C1)C2=NN(C(=N2)C3=CC=CC=C3O)C4=CC=C(C=C4)C(=O)O)O
DEFERASIROX,AUROBINDO PHARMA,GRANULE;ORAL,215137,DEFERASIROX,ANDA,20250915_095649,Prescription,No,No,360MG,AB,,214348.0,C1=CC=C(C(=C1)C2=NN(C(=N2)C3=CC=CC=C3O)C4=CC=C(C=C4)C(=O)O)O
OXCARBAZEPINE,CHARTWELL RX,SUSPENSION;ORAL,212428,OXCARBAZEPINE,ANDA,20250915_095649,Prescription,No,No,300MG/5ML,AB,,34312.0,C1C2=CC=CC=C2N(C3=CC=CC=C3C1=O)C(=O)N
FUROSEMIDE,AVET LIFESCIENCES,INJECTABLE;INJECTION,203428,FUROSEMIDE,ANDA,20250915_095650,Prescription,No,No,10MG/ML,AP,,3440.0,C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl
DOXYCYCLINE,LUPIN,CAPSULE;ORAL,216631,DOXYCYCLINE,ANDA,20250915_095652,Prescription,No,No,40MG,AB,,54671203.0,CC1C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O
DAPAGLIFLOZIN; SAXAGLIPTIN,MSN LABS PVT LTD,TABLET; ORAL,211533,DAPAGLIFLOZIN AND SAXAGLIPTIN,ANDA,20250915_095653,None (Tentative Approval),No,No,10MG/5MG,,,124219523.0,CCOC1=CC=C(C=C1)CC2=C(C=CC(=C2)C3C(C(C(C(O3)CO)O)O)O)Cl.C1C2CC2N(C1C#N)C(=O)C(C34CC5CC(C3)CC(C5)(C4)O)N
GABAPENTIN,STRIDES PHARMA,TABLET;ORAL,211313,GABAPENTIN,ANDA,20250915_095653,Prescription,No,No,600MG,AB1,,3446.0,C1CCC(CC1)(CC(=O)O)CN
GABAPENTIN,STRIDES PHARMA,TABLET;ORAL,211313,GABAPENTIN,ANDA,20250915_095654,Prescription,No,No,800MG,AB1,,3446.0,C1CCC(CC1)(CC(=O)O)CN
GABAPENTIN,STRIDES PHARMA,TABLET;ORAL,211313,GABAPENTIN,ANDA,20250915_095654,Prescription,No,No,100MG,AB1,,3446.0,C1CCC(CC1)(CC(=O)O)CN
GABAPENTIN,STRIDES PHARMA,TABLET;ORAL,211313,GABAPENTIN,ANDA,20250915_095654,Prescription,No,No,400MG,AB1,,3446.0,C1CCC(CC1)(CC(=O)O)CN
MACITENTAN,AUROBINDO PHARMA LTD,TABLET;ORAL,211198,MACITENTAN,ANDA,20250915_095655,Discontinued,No,No,10MG,,,16004692.0,CCCNS(=O)(=O)NC1=C(C(=NC=N1)OCCOC2=NC=C(C=N2)Br)C3=CC=C(C=C3)Br
DOXYCYCLINE,MACLEODS PHARMS LTD,CAPSULE;ORAL,210381,DOXYCYCLINE,ANDA,20250915_095655,Prescription,No,No,40MG,AB,,54671203.0,CC1C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O
TEDUGLUTIDE,TAKEDA PHARMS USA,POWDER;SUBCUTANEOUS,203441,GATTEX KIT,NDA,20250915_095657,Prescription,Yes,Yes,5MG/VIAL,,,16139605.0,CCC(C)C(C(=O)NC(C(C)O)C(=O)NC(CC(=O)O)C(=O)O)NC(=O)C(CCCCN)NC(=O)C(C(C)O)NC(=O)C(CCC(=O)N)NC(=O)C(C(C)CC)NC(=O)C(CC(C)C)NC(=O)C(CC1=CNC2=CC=CC=C21)NC(=O)C(CC(=O)N)NC(=O)C(C(C)CC)NC(=O)C(CC3=CC=CC=C3)NC(=O)C(CC(=O)O)NC(=O)C(CCCNC(=N)N)NC(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)NC(=O)C(CC(=O)N)NC(=O)C(CC(=O)O)NC(=O)C(CC(C)C)NC(=O)C(C(C)CC)NC(=O)C(C(C)O)NC(=O)C(CC(=O)N)NC(=O)C(CCSC)NC(=O)C(CCC(=O)O)NC(=O)C(CC(=O)O)NC(=O)C(CO)NC(=O)C(CC4=CC=CC=C4)NC(=O)C(CO)NC(=O)CNC(=O)C(CC(=O)O)NC(=O)CNC(=O)C(CC5=CN=CN5)N
PAZOPANIB HYDROCHLORIDE,TORRENT,TABLET;ORAL,219922,PAZOPANIB HYDROCHLORIDE,ANDA,20250915_095658,Prescription,No,No,EQ 400MG BASE,,,11525740.0,CC1=C(C=C(C=C1)NC2=NC=CC(=N2)N(C)C3=CC4=NN(C(=C4C=C3)C)C)S(=O)(=O)N.Cl
PALIPERIDONE,ESKAYEF,"TABLET, EXTENDED RELEASE;ORAL",218755,PALIPERIDONE,ANDA,20250915_095659,Prescription,No,No,1.5MG,AB,,115237.0,CC1=C(C(=O)N2CCCC(C2=N1)O)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F
PALIPERIDONE,ESKAYEF,"TABLET, EXTENDED RELEASE;ORAL",218755,PALIPERIDONE,ANDA,20250915_095659,Prescription,No,No,3MG,AB,,115237.0,CC1=C(C(=O)N2CCCC(C2=N1)O)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F
PALIPERIDONE,ESKAYEF,"TABLET, EXTENDED RELEASE;ORAL",218755,PALIPERIDONE,ANDA,20250915_095659,Prescription,No,No,6MG,AB,,115237.0,CC1=C(C(=O)N2CCCC(C2=N1)O)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F
PALIPERIDONE,ESKAYEF,"TABLET, EXTENDED RELEASE;ORAL",218755,PALIPERIDONE,ANDA,20250915_095659,Prescription,No,No,9MG,AB,,115237.0,CC1=C(C(=O)N2CCCC(C2=N1)O)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F
TACROLIMUS,CHENGDU,"CAPSULE, EXTENDED RELEASE;ORAL",215012,TACROLIMUS,ANDA,20250915_095659,Prescription,No,No,EQ 0.5MG BASE,AB,,445643.0,CC1CC(C2C(CC(C(O2)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C(CC(=O)C(C=C(C1)C)CC=C)O)C)C(=CC4CCC(C(C4)OC)O)C)O)C)OC)OC
TACROLIMUS,CHENGDU,"CAPSULE, EXTENDED RELEASE;ORAL",215012,TACROLIMUS,ANDA,20250915_095659,Prescription,No,No,EQ 1MG BASE,AB,,445643.0,CC1CC(C2C(CC(C(O2)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C(CC(=O)C(C=C(C1)C)CC=C)O)C)C(=CC4CCC(C(C4)OC)O)C)O)C)OC)OC
TACROLIMUS,CHENGDU,"CAPSULE, EXTENDED RELEASE;ORAL",215012,TACROLIMUS,ANDA,20250915_095659,Prescription,No,No,EQ 5MG BASE,AB,,445643.0,CC1CC(C2C(CC(C(O2)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C(CC(=O)C(C=C(C1)C)CC=C)O)C)C(=CC4CCC(C(C4)OC)O)C)O)C)OC)OC
MELPHALAN HYDROCHLORIDE,DELCATH SYSTEMS INC,POWDER;INTRA-ARTERIAL,201848,HEPZATO,NDA,20250915_095700,Prescription,Yes,Yes,EQ 50MG BASE/VIAL,,,9927978.0,C1=CC(=CC=C1CC(C(=O)O)N)N(CCCl)CCCl.Cl
SELEGILINE HYDROCHLORIDE,CHARTWELL MOLECULES,TABLET;ORAL,74565,SELEGILINE HYDROCHLORIDE,ANDA,20250915_095701,Discontinued,No,No,5MG,,,26758.0,CC(CC1=CC=CC=C1)N(C)CC#C.Cl
VIGABATRIN,PYROS PHARMS,SOLUTION;ORAL,217684,VIGAFYDE,NDA,20250915_095704,Prescription,Yes,Yes,100MG/ML,,,5665.0,C=CC(CCC(=O)O)N
ZIPRASIDONE MESYLATE,STERISCIENCE,POWDER;INTRAMUSCULAR,217595,ZIPRASIDONE MESYLATE,ANDA,20250915_095705,Prescription,No,No,EQ 20MG BASE/VIAL,AP,,656685.0,CS(=O)(=O)O.C1CN(CCN1CCC2=C(C=C3C(=C2)CC(=O)N3)Cl)C4=NSC5=CC=CC=C54.O.O.O
SAPROPTERIN DIHYDROCHLORIDE,HOPEWELL PHARMA,POWDER;ORAL,216432,SAPROPTERIN DIHYDROCHLORIDE,ANDA,20250915_095706,Prescription,No,No,100MG/PACKET,AB,,135409471.0,CC(C(C1CNC2=C(N1)C(=O)NC(=N2)N)O)O.Cl.Cl
SAPROPTERIN DIHYDROCHLORIDE,HOPEWELL PHARMA,POWDER;ORAL,216432,SAPROPTERIN DIHYDROCHLORIDE,ANDA,20250915_095706,Prescription,No,No,500MG/PACKET,AB,,135409471.0,CC(C(C1CNC2=C(N1)C(=O)NC(=N2)N)O)O.Cl.Cl
QUETIAPINE FUMARATE,AMNEAL PHARMS,"TABLET, EXTENDED RELEASE;ORAL",211405,QUETIAPINE FUMARATE,ANDA,20250915_095708,Discontinued,No,No,EQ 400MG BASE,,,5281025.0,C1CN(CCN1CCOCCO)C2=NC3=CC=CC=C3SC4=CC=CC=C42.C1CN(CCN1CCOCCO)C2=NC3=CC=CC=C3SC4=CC=CC=C42.C(=CC(=O)O)C(=O)O
OLANZAPINE,EUGIA PHARMA,INJECTABLE;INTRAMUSCULAR,210968,OLANZAPINE,ANDA,20250915_095708,Prescription,No,No,10MG/VIAL,AP,,135398745.0,CC1=CC2=C(S1)NC3=CC=CC=C3N=C2N4CCN(CC4)C
TRAMADOL HYDROCHLORIDE,RUBICON RESEARCH,TABLET;ORAL,208708,TRAMADOL HYDROCHLORIDE,ANDA,20250915_095709,Prescription,No,No,50MG,AB,,63013.0,CN(C)CC1CCCCC1(C2=CC(=CC=C2)OC)O.Cl
TRAMADOL HYDROCHLORIDE,RUBICON RESEARCH,TABLET;ORAL,208708,TRAMADOL HYDROCHLORIDE,ANDA,20250915_095709,Prescription,No,Yes,100MG,AB,,63013.0,CN(C)CC1CCCCC1(C2=CC(=CC=C2)OC)O.Cl
TRAMADOL HYDROCHLORIDE,RUBICON RESEARCH,TABLET;ORAL,208708,TRAMADOL HYDROCHLORIDE,ANDA,20250915_095709,Prescription,No,No,25MG,,,63013.0,CN(C)CC1CCCCC1(C2=CC(=CC=C2)OC)O.Cl
TRAMADOL HYDROCHLORIDE,RUBICON RESEARCH,TABLET;ORAL,208708,TRAMADOL HYDROCHLORIDE,ANDA,20250915_095709,Prescription,No,No,75MG,,,63013.0,CN(C)CC1CCCCC1(C2=CC(=CC=C2)OC)O.Cl
IMIQUIMOD,TARO,CREAM;TOPICAL,205971,IMIQUIMOD,ANDA,20250915_095710,Prescription,No,No,3.75%,AB,,57469.0,CC(C)CN1C=NC2=C1C3=CC=CC=C3N=C2N
